Modèle,Version,Prix,Promo,Ancien Prix,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,0-100 KM/H,VITESSE MAXI,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,CONSOMMATION MIXTE,EMISSIONS DE CO2,AIRBAGS,ANTI-PATINAGE,BARRE STABILISATRICE,CALANDRE,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,KIT RANGEMENT,POMMEAU DE LEVIER DE VITESSE,SELLERIE,SIÈGES RÉGLABLES EN HAUTEUR,VITRES,VOLANT,VOLANT RÉGLABLE,CLIMATISATION,FERMETURE CENTRALISÉE,RÉTROVISEURS EXTÉRIEURS,VITRES ÉLECTRIQUES,URL,AIDE AU STATIONNEMENT,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,SEUILS DE PORTES,ALIMENTATION ÉLECTRIQUE,BARRES DE TOIT,DIFFÉRENTIEL AUTOBLOQUANT,DIRECTION ASSISTÉE,FINITION INTÉRIEURE,SIÈGES,BOUTON START & STOP,CLÉ INTELLIGENTE,FREIN DE STATIONNEMENT,INSTRUMENTATION DIGITALE,RÉTROVISEUR INTÉRIEUR,ALARME ANTIVOL,ASSISTANCE AU FREINAGE,NAVIGATION,NOMBRE DE MOTEURS ÉLECTRIQUES,BATTERIE,CHARGE UTILE,VOLUME UTILE,AUTONOMIE ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),AIDE AU DÉMARRAGE EN CÔTE,MODES DE CONDUITE,CONSOMMATION ÉLECTRIQUE (WLTP),RECONNAISSANCE DES PANNEAUX,PEINTURE,VOLUME DU COFFRE MAXIMAL,KIT SÉCURITÉ,SYSTÈME DE DESCENTE EN CÔTE,ORDINATEUR DE BORD,COFFRE À BAGAGES,TEMPS DE RECHARGE RAPIDE (DC),CONTRÔLE DE PRESSION DES PNEUS,ANTIBROUILLARDS,AUTONOMIE ÉLECTRIQUE (NEDC),RÉGULATEUR DE VITESSE,TAPIS DE SOL
SKODA FABIA,1.0 L MPI Essence,66 980 DT,Oui,68.980 DT,Disponible,Citadine,3 ans,5,5,3,Essence,4 CV,80 CH,93 nm 3700 tr/min,999 CM³,Manuelle,5,Traction,4108 mm,1780 mm,1482 mm,380 L,15.5 s,178 KM/H,6 L/100 km,4.3 L/100 km,5.1 L/100 km,116 g/km,Frontaux,ESP,Avant,Chromée,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour,14'',LED,SWING | 4 haut-parleurs,2 USB-C | Bluetooth,Tactile | 6.5 pouces,Avant,3,Porte-lunettes,Cuir,Tissu,Conducteur,Athermiques,Multi-fonctions,En hauteur et en profondeur,Manuelle,À distance,Électriques | Dégivrants,Avant,https://www.automobile.tn/fr/neuf/skoda/fabia/1.0-l-mpi-essence#specs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKODA KUSHAQ,1.0 TSI Ambition,78 980 DT,Non,,Sur arrivage,SUV,3 ans,5,5,3,Essence,6 CV,116 CH,178 nm 1750 tr/min,999 CM³,Manuelle,6,Traction,4221 mm,1760 mm,1612 mm,385 L,10.8 s,189 KM/H,6.7 L/100 km,4.5 L/100 km,5.2 L/100 km,,Frontaux,ESP,,,Pare-chocs | Rétroviseurs,Avant,En aluminium | 16'',LED,6 haut-parleurs | Commandes au volant,2 USB-C | Android Auto | Apple Carplay | Bluetooth,Tactile | 10 pouces,Avant | Arrière,3,Poches aumônières | Porte-lunettes,Cuir,Tissu,Conducteur,Athermiques,Cuir | Multi-fonctions,En hauteur et en profondeur,Automatique,À distance,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/skoda/kushaq/1.0-tsi-ambition#specs,Radar de recul | Caméra de recul,Noir Brillant,Baguettes dans les baies de porte,1 prise 12 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKODA SCALA,1.0 L TSI Essence DSG,86 980 DT,Oui,91.980 DT,Sur arrivage,Compacte,3 ans,5,5,3,Essence,6 CV,116 CH,200 nm 2000 tr/min,999 CM³,Automatique,7,Traction,4362 mm,1793 mm,1514 mm,467 L,10.1 s,202 KM/H,6.9 L/100 km,4.7 L/100 km,5.4 L/100 km,,Frontaux | Latéraux,ESP,Avant,Chromée,Pare-chocs | Poignées de portes | Rétroviseurs,Avant | Arrières,En aluminium | 16'',LED,8 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth | SmartLink,Tactile | 8.25 pouces,Avant,,,Cuir,Tissu,Conducteur et passager,Athermiques,Multi-fonctions,,Manuelle,À distance,Électriques | Dégivrants,Avant/Arrière,https://www.automobile.tn/fr/neuf/skoda/scala/1.0-l-tsi-dsg-essence#specs,Radar de recul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKODA KAMIQ,1.0 L TSI Essence DSG,89 980 DT,Oui,94.980 DT,Sur arrivage,SUV,3 ans,5,5,3,Essence,6 CV,116 CH,200 nm 2000 tr/min,999 CM³,Automatique,7,Traction,4241 mm,1793 mm,1562 mm,400 L,10.2 s,195 KM/H,,,5.7 L/100 km,,Frontaux | Latéraux,ESP,Avant,Chromée,Poignées de portes | Rétroviseurs,Avant | Arrières,En aluminium | 16'',LED,8 haut-parleurs,USB-C | Bluetooth | SmartLink,Tactile,Avant,,,Cuir,Tissu,Conducteur et passager,Athermiques,Multi-fonctions,En hauteur et en profondeur,Manuelle,À distance,Électriques | Dégivrants,Avant/Arrière,https://www.automobile.tn/fr/neuf/skoda/kamiq/1.0-l-tsi-dsg-essence#specs,Radar de recul,,,,Noires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKODA OCTAVIA,1.4 TSI Essence BVA,114 980 DT,Oui,124.980 DT,Disponible,Berline,3 ans,5,4,4,Essence,8 CV,150 CH,250 nm 1500 tr/min,1395 CM³,Automatique,8,Traction,4698 mm,1829 mm,1470 mm,600 L,8.2 s,219 KM/H,6 L/100 km,4.2 L/100 km,4.8 L/100 km,,Frontaux | Latéraux | Protège-tête,ESC,Avant,,Pare-chocs | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 16'',LED,8 haut-parleurs | Commandes au volant,2 USB-C | Android Auto | Apple Carplay | Bluetooth | SmartLink | Chargeur de téléphone sans fil,Tactile | 10 pouces,Avant,3,,,Similicuir/Tissu,Conducteur et passager,Athermiques,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Automatique,À distance,Électriques | Dégivrants,Avant/Arrière,https://www.automobile.tn/fr/neuf/skoda/octavia/1.4-tsi-bva-essence#specs,Radar de recul | Radar avant,,Chromés,1 prise 12 V,,XDS,Servotronic,Chromée,Réglage lombaire,Démarrage mains libres,Accès mains libres,Éléctrique,10.25 pouces,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,
SKODA SUPERB,1.5 TSI Essence DSG,155 980 DT,Non,,En pré-commande,Berline,3 ans,5,5,4,Essence | Hybride léger,8 CV,150 CH,250 nm 1500 tr/min,1495 CM³,Automatique,7,Traction,4912 mm,1849 mm,1481 mm,645 L,9.0 s,225 KM/H,,,6 L/100 km,,Frontaux | Latéraux | Genoux | Protège-tête,ESC | ASR,,,,Feux de jour | Avant | Arrières,En aluminium | 17'',LED,8 haut-parleurs | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | SmartLink,Tactile | 13 pouces,Avant | Arrière,3,,,Tissu,Conducteur et passager,Parebrise athermique | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Automatique | Bizone,À distance,Électriques | Dégivrants,Avant/Arrière,https://www.automobile.tn/fr/neuf/skoda/superb/1.5-tsi-dsg-essence#specs,Radar de recul | Caméra de recul,,Chromés,1 prise 12 V,,XDS+,Servotronic,,Chauffants,Démarrage mains libres,,Éléctrique,10.25 pouces | Virtual Cockpit,,Anti-soulèvement,EBD | HBA,GPS,,,,,,,,,,,,,,,,,,,,,,
"AVANTIER AVANTIER C
14 KWH",Version unique,à partir de 32 800 DT,Non,,En pré-commande,Utilitaire,5 ans ou 100000 km | Batterie garantie 8 ans ou 160.000 KM,2,3,,Electrique,2 CV,30 CH,85 nm 0 tr/min,,Automatique,,Propulsion,2980 mm,1490 mm,1637 mm,,,90 KM/H,,,,,Frontaux,,,,,,"12""",,Commandes au volant,USB | Bluetooth,,,,,,Tissu,,,Multi-fonctions,,Manuelle,À distance,,Avant,https://www.automobile.tn/fr/neuf/avantier/avantier-c/14-kwh,Radar de recul | Caméra de recul,,,,,,EPS,,,,,,8 pouces,,,EBD,,1,14 kWh,275 KG,"0,69 m³",182 km,8 heures,HAC,Sport | Eco,,,,,,,,,,,,,,
"SUZUKI CELERIO POPULAIRE
1.0 L GL",Version unique,à partir de 32 190 DT,Non,,Disponible | Sous réserve d'acceptation du dossier par le ministère du commerce,Citadine,3 ans,5,5,3,Essence,4 CV,68 CH,90 nm 3500 tr/min,998 CM³,Manuelle,5,Traction,3695 mm,1655 mm,1555 mm,295 L,14 s,155 KM/H,5.1 L/100 km,3.7 L/100 km,4.3 L/100 km,,Frontaux,ESP,,Chromée | Noire,Poignées de portes | Rétroviseurs,,En aluminium | 15'',,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 7 pouces,,,,,Tissu,,,3 branches,En hauteur,Manuelle,À distance,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/suzuki/celerio-populaire/1.0-l-gl,Radar de recul,,,1 prise 12 V,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RENAULT KWID POPULAIRE
1.0 L",Version unique,N/A,Non,,Sous réserve d'acceptation du dossier par le ministère du commerce | Sur arrivage,SUV,2 ans,5,5,3,Essence,4 CV,64 CH,92 nm 4250 tr/min,999 CM³,Manuelle,5,Traction,3680 mm,1579 mm,1474 mm,290 L,15.5 s,150 KM/H,,,4.7 L/100 km,,Frontaux | Latéraux,,,,Pare-chocs | Rétroviseurs,Feux de jour,14'',,,USB | AUX | Bluetooth,,,3,,,Tissu,,,,,Manuelle,À distance,,Avant,https://www.automobile.tn/fr/neuf/renault/kwid/1.0-l-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KIA PICANTO POPULAIRE
1.0 L",Version unique,à partir de 28 935 DT,Non,,Disponible | Sous réserve d'acceptation du dossier par le ministère du commerce,Citadine,5 ans,5,5,3,Essence,4 CV,67 CH,95.2 nm 3700 tr/min,998 CM³,Manuelle,5,Traction,3595 mm,1595 mm,1485 mm,255 L,14.3 s,161 KM/H,6.0 L/100 km,4.1 L/100 km,4.8 L/100 km,,Frontaux,ESC,,Chromée,Pare-chocs | Poignées de portes | Rétroviseurs,,14'',,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 8 pouces,,,,,Tissu,Conducteur,Teintées,Multi-fonctions,En hauteur,Manuelle,À distance,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/kia/picanto-populaire/1.0-l,Radar de recul | Caméra de recul,,,,,,Électrique,,,,,,,,,,,,,,,,,HAC,,,,,,,,,,,,,,,
"CENNTRO LOGISTAR 100
16 KWH",Version unique,à partir de 28 700 DT,Non,,Disponible,Utilitaire,5 ans ou 100000 km | Batterie garantie 8 ans ou 160.000 KM,2,5,,Electrique,2 CV,34 CH,90 nm 0 tr/min,,Automatique,,Traction,3664 mm,1610 mm,1689 mm,,,90 KM/H,,,,,Frontaux,ESC,,,,,14'',,,Bluetooth,Tactile,,,,,Tissu,,,,,Manuelle,À distance,Électriques,Avant,https://www.automobile.tn/fr/neuf/cenntro/logistar-ls-100/16-kwh,Radar de recul | Caméra de recul,,,1 prise 12 V,,,Électrique,,,,,,,,,,,1,16 kWh,600 KG,2 m³,120 km,5 heures,,,15 kWh/100 km,,,,,,,,,,,,,
DFSK K01S,Simple Cabine STD,32 900 DT,Non,,Sur arrivage,Pick up,2 ans,2,2,4,Essence,5 CV,58 CH,88 nm 3000 tr/min,1000 CM³,Manuelle,5,Propulsion,3910 mm,1560 mm,1810 mm,,N.C,115 KM/H,,,7.5 L/100 km,,,,,,,,13'',,,USB,,,,,,Tissu,,,,,,,,,https://www.automobile.tn/fr/neuf/dfsk/k01s/simple-cabine-std#specs,,,,,,,,,,,,,,,,,,,,985 KG,,,,,,,,,,,,,,,,,,,
"CITROËN C3 POPULAIRE
1.2 L",Version unique,à partir de 28 935 DT,Non,,Disponible | Sous réserve d'acceptation du dossier par le ministère du commerce,Citadine,3 ans,5,5,3,Essence,4 CV,75 CH,118 nm 2750 tr/min,1199 CM³,Manuelle,5,Traction,3999 mm,1749 mm,1474 mm,300 L,13.3 s,175 KM/H,6.4 L/100 km,4.7 L/100 km,5.4 L/100 km,,Frontaux | Latéraux | Rideaux,ESP,,,Poignées de portes,Feux de jour,15'',LED,4 haut-parleurs,USB | Bluetooth,,,3,,,Tissu,Conducteur,,Multi-fonctions,En hauteur et en profondeur,Manuelle,À distance,Électriques | Dégivrants,Avant,https://www.automobile.tn/fr/neuf/citroen/c3-populaire/1.2-l,,,,1 prise 12 V,,,,Noir brillant,,,,,,,,AFU,,,,,,,,,,,TSR,Métallisée +360 DT,,,,,,,,,,,
"CHERY TIGGO 1X POPULAIRE
1.0 L TURBO CVT",Version unique,N/A,Non,,Sous réserve d'acceptation du dossier par le ministère du commerce | En pré-commande,SUV,3 ans ou 100.000 km,5,5,3,Essence,4 CV,70 CH,117 nm 3500 tr/min,998 CM³,Automatique,9,Traction,4200 mm,1760 mm,1570 mm,420 L,15.3 s,170 KM/H,,,6.3 L/100 km,,Frontaux,ESP,,Chromée | Noire,Poignées de portes | Rétroviseurs,Feux de jour | Arrières,En aluminium | 16'',,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 9 pouces,Avant,,,,Tissu,,,Multi-fonctions | à méplat,En hauteur,Automatique,À distance,Électriques | Rabattables | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/chery/tiggo-1x-populaire/1.0-l-turbo-cvt,Radar de recul,,,1 prise 12 V,Aluminium,,,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,,,EBA | EBD,,,,,,,,HAC,,,,,1239 L,Triangle de présignalisation,HDC,Ecran TFT 3.5'',,,,,,,
"HYUNDAI GRAND I10 POPULAIRE
1.0 L",Version unique,à partir de 28 935 DT,Non,,Sous réserve d'acceptation du dossier par le ministère du commerce,Citadine,5 ans,5,5,3,Essence,4 CV,65 CH,95 nm 3500 tr/min,998 CM³,Manuelle,5,Traction,3805 mm,1680 mm,1510 mm,260 L,14.3 s,161 KM/H,6.5 L/100 km,4.1 L/100 km,5 L/100 km,,Frontaux,,,Chromée,Poignées de portes,,En aluminium | 15'',,4 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,,,,,Cuir,Tissu,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur,Manuelle,À distance,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/grand-i10-populaire/1.0-l,,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,Two-tone,,,,,,,,,,,
DFSK K01H,Large Cabine 1.1 l STD,35 900 DT,Non,,Disponible,Pick up,2 ans,2,2,4,Essence,6 CV,50 CH,83 nm 3000 tr/min,1050 CM³,Manuelle,5,Propulsion,4500 mm,1560 mm,1850 mm,,N.C,N.C,,,6.1 L/100 km,,,,,,,,13'',,,USB,,,,,,Tissu,,,,,,,,,https://www.automobile.tn/fr/neuf/dfsk/k01h/large-cabine-1.1-l-std#specs,,,,,,,,,,,,,,,,,,,,915 KG,,,,,,,,,,,,,,,,,,,
"CHANGAN NEW STAR VAN
1.2 L",Version unique,N/A,Non,,Disponible,Utilitaire,1 an,2,3 | 2 portes latérales coulissantes,4,Essence,6 CV,92 CH,113 nm 4800 tr/min,1243 CM³,Manuelle,5,Propulsion,3980 mm,1620 mm,1890 mm,,N.C,120 KM/H,,,7.4 L/100 km,,Frontaux,,,,,,14'',,,AUX,,,,,,Tissu,,,,,Manuelle,À distance,,Avant,https://www.automobile.tn/fr/neuf/changan/new-star/1.2-l,,,,,,,EPS,,,,,,,,,,,,,620 KG,3.5 m³,,,,,,,,,,,,,,,,,,
"TATA SUPER ACE SIMPLE CABINE
1.4 L TURBO DIESEL",Version unique,N/A,Non,,Sur arrivage,Pick up,3 ans ou 100.000 km,2,2,4,Diesel,5 CV,71 CH,140 nm 3000 tr/min,1396 CM³,Manuelle,5,Propulsion,4320 mm,1565 mm,1864 mm,,N.C,135 KM/H,8.85 L/100 km,5.78 L/100 km,6.9 L/100 km,,,,,,,,14'',,,,,,,,,Tissu,,,,,Manuelle,,,Avant,https://www.automobile.tn/fr/neuf/tata/super-ace/1.4-l-turbo-diesel-simple-cabine-2023,,,,,,,,,,,,,,,,,,,,940 KG,,,,,,,,,,,,,,,,,,,
DFSK K02S,1.0 l Double Cabine STD,40 900 DT,Oui,42.900 DT,Sur arrivage,Pick up,2 ans,5,4,4,Essence,5 CV,58 CH,88 nm 3000 tr/min,1000 CM³,Manuelle,5,Propulsion,4600 mm,1560 mm,1840 mm,,N.C,115 KM/H,,,7.5 L/100 km,,,,,,,,13'',,,USB,,,,,,Tissu,,,,,,,,,https://www.automobile.tn/fr/neuf/dfsk/k02s/double-cabine-1.0-l-std#specs,,,,,,,,,,,,,,,,,,,,875 KG,,,,,,,,,,,,,,,,,,,
"MAHINDRA KUV 100
1.2 L K8",Version unique,à partir de 53 480 DT,Non,,Disponible,SUV,3 ans,5,5,3,Essence,5 CV,82 CH,115 nm 3500 tr/min,1198 CM³,Manuelle,5,Traction,3700 mm,1735 mm,1655 mm,243 L,14.5 s,160 KM/H,N.C,N.C,5.4 L/100 km,,Frontaux,ESP,,Chromée,Poignées de portes | Rétroviseurs,Feux de jour,En aluminium | 15'',,4 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,Tactile | 7 pouces,,,,,Tissu,Conducteur,,,En hauteur,Automatique,À distance,Électriques | Rabattables | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/mahindra/kuv-100/1.2-l-k8,Radar de recul,,,2 prises 12 V,,,Électrique,Noir,,Démarrage mains libres,Accès mains libres,,,,,,,,,,,,,,,,,,,,,,Ouverture à distance,,,,,,
"DFSK C31
1.5 L SIMPLE CABINE DLX",Version unique,N/A,Non,,Disponible,Pick up,2 ans,2,2,4,Essence,7 CV,101 CH,136 nm 3000 tr/min,1493 CM³,Manuelle,5,Propulsion,4730 mm,1655 mm,1890 mm,,N.C,N.C,,,8 L/100 km,,Frontaux,ESP,Avant,,,,14'',,,USB | AUX,,,,,,Tissu,,,,,Manuelle,,,Avant,https://www.automobile.tn/fr/neuf/dfsk/c31/1.5-l-simple-cabine-dlx,,,,,,,,,,,,,,,,EBD,,,,1195 KG,,,,,,,,,,,,,,,,,,,
