Modèle,Version,Prix,Promo,DISPONIBILITÉ,GARANTIE,CARROSSERIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,CHARGE UTILE,0-100 KM/H,VITESSE MAXI,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,CONSOMMATION MIXTE,AIRBAGS,BARRE STABILISATRICE,JANTES,SELLERIE,ALIMENTATION ÉLECTRIQUE,CLIMATISATION,FERMETURE CENTRALISÉE,RÉTROVISEURS EXTÉRIEURS,VITRES ÉLECTRIQUES,URL,VOLUME DU COFFRE,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,DIRECTION ASSISTÉE,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,CALANDRE,BARRES DE TOIT,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,FEUX À LED,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,BOUTON START & STOP,CLÉ INTELLIGENTE,FREIN DE STATIONNEMENT,INSTRUMENTATION DIGITALE,ANTIBROUILLARDS,VOLUME DU COFFRE MAXIMAL,PEINTURE,POMMEAU DE LEVIER DE VITESSE,MODES DE CONDUITE,ORDINATEUR DE BORD,VOLUME UTILE,VITRES,NOMBRE DE MOTEURS ÉLECTRIQUES,BATTERIE,TYPE DE BATTERIE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE RISQUE DE COLLISION,AIDE AU MAINTIEN DANS LA VOIE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,CONDUITE AUTONOME,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,COFFRE À BAGAGES,RÉTROVISEUR INTÉRIEUR,KIT RANGEMENT,PUISSANCE ÉLECTRIQUE,COUPLE ÉLECTRIQUE,CONTRÔLE DE PRESSION DES PNEUS,POIGNÉES DE PORTES,ALARME ANTIVOL,SYSTÈME DE DESCENTE EN CÔTE,EMISSIONS DE CO2,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,FINITION INTÉRIEURE,FREINAGE,NAVIGATION,PÉDALIERS
"TATA XENON X2 DOUBLE CABINE 4X4
2.2 L TURBO",Version unique,81 000 DT,Non,Sur arrivage,3 ans,Pick up,5,4,4,Diesel,7 CV,150 CH,320 nm 1500 tr/min,2179 CM³,Manuelle,5,Intégrale,5312 mm,1860 mm,1805 mm,990 KG,N.C,160 KM/H,9.7 L/100 km,6.6 L/100 km,7.8 L/100 km,Frontaux,Avant,En aluminium | 16'',Tissu,1 prise 12 V,Manuelle,À distance,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/tata/xenon-x2-double-cabine-4x4/2.2-l-4x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHERY TIGGO 4 PRO
1.5 L CVT",Version unique,84 000 DT,Non,Disponible,5 ans ou 150000 km,SUV,5,5,4,Essence,6 CV,113 CH,138 nm 4000 tr/min,1499 CM³,Automatique,,Traction,4318 mm,1831 mm,1679 mm,,9.7 s,165 KM/H,,,7.3 L/100 km,Frontaux | Latéraux,,En aluminium | 17'',Cuir perforé,,Automatique | Ventilation arrière,À distance,Électriques | Rabattables | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/chery/tiggo-4-pro/1.5-t-cvt,340 L,ESP,EBA | EBD,Autohold,Radar de recul | Caméra de recul,Électrique,Chrome,Chromée,Chromées,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,Full LED,Commandes au volant,3 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant | Réfrigéré | Arrière,3,Conducteur à réglage électrique | 6 directions | Réglage lombaire,Conducteur et passager,Ouvrant,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Démarrage à distance,Éléctrique,7 pouces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROËN C4 X,1.2 L Plus EAT8,84 900 DT,Non,Disponible,3 ans ou 100.000 km,Berline,5,4,3,Essence,7 CV,130 CH,230 nm 1750 tr/min,1199 CM³,Automatique,8,Traction,4580 mm,1800 mm,1525 mm,,9.7 s,200 KM/H,7.4 L/100 km,5.2 L/100 km,6 L/100 km,Frontaux | Latéraux,,En aluminium | 17'',Tissu,,Automatique | Bizone,À distance,Électriques | Rabattables | Dégivrants | Noirs | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/citroen/c4-x/1.2-l-eat8-plus#specs,510 L,ESP,,,Radar de recul | Caméra de recul,,,,,Pare-chocs | Poignées de portes,Feux de jour | Avant | Arrières,Eco LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10 pouces,Avant,,Réglage lombaire | Advanced Confort,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Éléctrique,5 pouces,LED | Avec fonction Cornering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOYOTA YARIS HYBRIDE
1.5 L CVT FRANCE",Version unique,84 000 DT,Non,Disponible,3 ans ou 100.000 km | Batterie garantie 5 ans ou 150.000 km,Citadine,5,5,3,Essence | Hybride,4 CV,116 CH,120 nm 3600 tr/min,1490 CM³,Automatique,5,Traction,3940 mm,1745 mm,1470 mm,,9.7 s,175 KM/H,2.2 L/100 km,3.2 L/100 km,2.8 L/100 km,Frontaux | Latéraux | Rideaux | Centraux,,15'',Tissu,,Automatique,À distance,Électriques | Avec clignotants intégrés,Avant,https://www.automobile.tn/fr/neuf/toyota/yaris-hybride/1.5-l-cvt-france,284 L,ESP,EBA | EBD,Autohold,Caméra de recul,Électrique,,,,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Arrières,,Commandes au volant | Toyota Touch,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 9 pouces,Avant,3,,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Éléctrique,,,947 L,Métallisée,Cuir,Confort | Sport | Eco,Ecran TFT 4.2'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENAULT MASTER,2.3 L 8m3,84 900 DT,Non,,2 ans ou 100.000 km,Utilitaire,3,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,8 CV,125 CH,310 nm 1250 tr/min,2298 CM³,Manuelle,6,Traction,5048 mm,2070 mm,2287 mm,,9.7 s,196 KM/H,9.1 L/100 km,7.1 L/100 km,7.8 L/100 km,Frontal conducteur,,,Tissu,,Manuelle,,,Avant,https://www.automobile.tn/fr/neuf/renault/master/2.3-l-8-m3#specs,,,AFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 m³,Teintées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MG S5
64 KWH",Version unique,84 000 DT,Non,Sur arrivage,7 ans ou 150.000 km,SUV,5,5,,Electrique,4 CV,170 CH,250 nm 0 tr/min,,Automatique,,Propulsion,4476 mm,1849 mm,1633 mm,,8.0 s,170 KM/H,,,,Frontaux | Latéraux | Rideaux | Centraux,,En aluminium | 18'',Similicuir/Tissu,,Automatique | Ventilation arrière,À distance,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/mg/s5/64-kwh,453 L,,Freinage automatique anti-collision (AEB),,Radar de recul | Radar avant | Système de caméras 360,,Chrome,Volets actifs (AGS),,,Feux de jour | Avant | Arrières,LED,6 haut-parleurs | Commandes au volant | Radio numérique DAB,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil | 3 USB-C,Tactile | 12.8 pouces,Avant | Arrière,,Conducteur à réglage électrique | 6 directions | Chauffants | Réglage lombaire,Conducteur,Ouvrant | Panoramique,Similicuir | Chauffant | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Accès mains libres,Éléctrique,10.25 pouces,,1441 L,,,Normal | Confort | Sport | Perso | Neige,,,,1,64 kWh,LFP,460 km,540 km,16.6 kWh/100 km,8.5 heures,24 minutes,LDW,FCW,LKA | LCA,RCTA,IHC,TJA,Adaptatif (ACC),TSR | Avec régulation de la vitesse,Ouverture et fermeture motorisées | Ouverture mains libres,Anti-éblouissement,,,,,,,,,,,,,,
HYUNDAI BAYON,1.2 L Top Grade,84 950 DT,Non,Disponible,5 ans,SUV,5,5,4,Essence,4 CV,77 CH,118 nm 4000 tr/min,1197 CM³,Manuelle,5,Traction,4180 mm,1775 mm,1500 mm,,13.5 s,165 KM/H,6.8 L/100 km,5.0 L/100 km,5.4 L/100 km,Frontaux | Latéraux | Rideaux,,En aluminium | 16'',Tissu,,Automatique,À distance,Électriques | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/bayon/1.2-l-2025-top-grade#specs,411 L,ESP,FCA,,Radar de recul | Radar avant | Caméra de recul,Électrique,,,,Rétroviseurs,Feux de jour | Avant | Arrières,LED,Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant,2,,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Accès mains libres,,,LED,,,Cuir,,Supervision TFT LCD,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,LKA | LFA,,,,,TSR,,Anti-éblouissement,Poches aumônières,,,,,,,,,,,,,
"FIAT DUCATO
2.2 HDI 11.5 M3 L2H2",Version unique,85 000 DT,Non,Disponible,3 ans,Utilitaire,3,2 portes latérales coulissantes | 2 portes arrières battantes tolées | 6,4,Diesel,7 CV,140 CH,340 nm 1750 tr/min,2179 CM³,Manuelle,6,Traction,5413 mm,2050 mm,2524 mm,1400 KG,N.C,152 KM/H,N.C,N.C,8 L/100 km,Frontaux,,,Tissu,1 prise 12 V,Manuelle,À distance,Électriques | Avec clignotants intégrés,Avant,https://www.automobile.tn/fr/neuf/fiat/ducato/2.2-hdi-2025-11.5-m3-l2h2,,ESC,,,Radar de recul,,,,,,,,,USB,,Avant,,Réglage lombaire,Conducteur,,,En hauteur et en profondeur,,,,,,,,,,,11.5 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HONDA JAZZ
1.5 L E-HEV",Version unique,85 000 DT,Non,Disponible,3 ans ou 100.000 km,Citadine,5,5,4,Essence | Hybride,5 CV,108 CH,131 nm 4500 tr/min,1498 CM³,Automatique,,Traction,4047 mm,1694 mm,1487 mm,,9.4 s,174 KM/H,"2,5 L/100 km","4,2 L/100 km","3,6 L/100 km",Frontaux | Latéraux | Rideaux | Centraux,,En aluminium | 16'',Cuir/Tissu,1 prise 12 V,Automatique,À distance,Électriques | Rabattables | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/honda/jazz/1.5-l-e-hev,304 L,VSA,EBA | EBD | ESS | Freinage automatique anti-collision (AEB),Autohold | HSA,Radar de recul | Radar avant | Caméra de recul,EPS,,,,,Feux de jour,Full LED,4 haut-parleurs,Android Auto | 4 USB | Apple Carplay | Bluetooth | Commande vocale,Tactile | 9 pouces,Avant,,,Conducteur et passager,,Cuir | Chauffant | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Accès mains libres,Éléctrique,,LED,1205 L,,,Normal | Eco,,,,2,,,,,,,,LDW | ●,,LKA,Rear Cross Traffic Monitor,HBSS,,Adaptatif (ACC),TSR,,Anti-éblouissement,,122 CH,253 nm,TPMS,,,,,,,,,,
"FIAT SCUDO FOURGON
2.0 L HDI",Version unique,86 000 DT,Non,3 mois,3 ans,Utilitaire,3,5 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,8 CV,150 CH,370 nm 2000 tr/min,1997 CM³,Manuelle,6,Traction,4983 mm,2010 mm,1895 mm,1000 KG,9.9 s,170 KM/H,6 L/100 km,5.2 L/100 km,5.5 L/100 km,Frontaux,,16'',Tissu,1 prise 12 V,Manuelle,À distance,Électriques | Rabattables | Dégivrants,Avant,https://www.automobile.tn/fr/neuf/fiat/scudo/2.0-l-hdi,,ESP,,,Radar de recul,,,,,,,,Radio numérique DAB,USB | Bluetooth,,Avant conducteur,,Réglage lombaire,,,Multi-fonctions,En hauteur et en profondeur,,,,,,,,,,,5.3 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
