Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,VOLUME DU COFFRE MAXIMAL,0-100 KM/H,VITESSE MAXI,CONSOMMATION MIXTE,AIRBAGS,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,CONTRÔLE DE PRESSION DES PNEUS,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,CONTRÔLE DE STABILITÉ ANTI-RETOURNEMENT,SYSTÈME DE DESCENTE EN CÔTE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SELLERIE,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,ALIMENTATION ÉLECTRIQUE,COFFRE À BAGAGES,CLIMATISATION,FERMETURE CENTRALISÉE,FREIN DE STATIONNEMENT,MODES DE CONDUITE,RÉTROVISEURS EXTÉRIEURS,INSTRUMENTATION DIGITALE,VITRES ÉLECTRIQUES,URL,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,ALARME ANTIVOL,ALERTE DE RISQUE DE COLLISION,BARRE STABILISATRICE,AIDE AU MAINTIEN DANS LA VOIE,CONDUITE AUTONOME,DIRECTION ASSISTÉE,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,PEINTURE,POIGNÉES DE PORTES,POMMEAU DE LEVIER DE VITESSE,BOUTON START & STOP,CLÉ INTELLIGENTE,CALANDRE,FINITION INTÉRIEURE,VITRES,PUISSANCE THERMIQUE (CH.DIN),PUISSANCE ÉLECTRIQUE,BATTERIE,COUPLE ÉLECTRIQUE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),KIT SÉCURITÉ,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,KIT RANGEMENT,ANTIBROUILLARDS,ORDINATEUR DE BORD,RÉTROVISEUR INTÉRIEUR,EMISSIONS DE CO2,CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,SURVEILLANCE D’ANGLE MORT,SEUILS DE PORTES,BARRES DE TOIT,CHARGE UTILE,TABLEAU DE BORD,SPOILER ARRIÈRE,Ancien Prix,NOMBRE DE MOTEURS ÉLECTRIQUES,VOLUME DU COFFRE AVANT,CAPACITÉ DE RECHARGE MAXIMALE (AC),LUMIÈRES D'AMBIANCE,PÉDALIERS,DIFFÉRENTIEL AUTOBLOQUANT,CONTRÔLE DU ROULIS DE LA REMORQUE,LIMITEUR DE VITESSE,KIT CARROSSERIE,NAVIGATION,CONNECTED DRIVE,TAPIS DE SOL,DÉTECTEUR DE FATIGUE,VOLUME UTILE,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,BOULE D'ATTELAGE,CAMÉRA D'ANGLE MORT,TRAIN ROULANT,SURFACE DE CHARGEMENT,CIEL DE PAVILLON,SORTIES D’ÉCHAPPEMENT,FREINAGE,SUSPENSION,PORTES EN ÉLYTRE,STORES PARE-SOLEIL
"MG HS
1.5L TURBO LUXURY",Version unique,104 950 DT,Non,15 jours,SUV,5 ans ou 100000 km,5,5,4,Essence,9 CV,162 CH,275 nm 1500 tr/min,1496 CM³,Automatique,7,Traction,4655 mm,1890 mm,1663 mm,507 L,1484 L,9.6 s,195 KM/H,7.8 L/100 km,Frontaux | Latéraux | Rideaux,TCS | CBC,EBD | VDC | BDW | HAZ,TPMS,HHC,Radar de recul | Caméra de recul,ARP,HDC,Feux de jour | Avant | Arrières,En aluminium | 19'',LED,6 haut-parleurs | Commandes au volant,4 USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 12.3 pouces,Avant | Arrière,3,Cuir,Conducteur à réglage électrique,Conducteur,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mg/hs/1.5l-turbo-luxury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEUGEOT RIFTER
1.6 L HDI 92CH",Version unique,105 900 DT,Non,Disponible,Monospace,3 ans,5,5 | 2 portes latérales coulissantes,4,Diesel,5 CV,92 CH,230 nm 1500 tr/min,1560 CM³,Manuelle,5,Traction,4405 mm,1848 mm,1818 mm,775 L,3000 L,15.9 s,182 KM/H,5.8 L/100 km,Frontal conducteur,ESP,AFU,,,,,,Feux de jour | Avant,16'',LED,Commandes au volant,Android Auto | Apple Carplay | Bluetooth | Mirrorlink,Tactile | 10 pouces,Avant,,Tissu,,,,Multi-fonctions,En hauteur et en profondeur,,,Manuelle,À distance,Éléctrique,,Électriques,,Avant,https://www.automobile.tn/fr/neuf/peugeot/rifter/1.6-l-hdi-92ch,7 L/100 km,5.1 L/100 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC EMZOOM,1.5T GDI Lifestyle BVA,95 900 DT,Non,Disponible,SUV,5 ans ou 150000 km,5,5,4,Essence,9 CV,170 CH,240 nm 1400 tr/min,1497 CM³,Automatique,7,Traction,4410 mm,1850 mm,1600 mm,341 L,1271 L,8 s,190 KM/H,5.9 L/100 km,Frontaux | Latéraux | Rideaux,ESP,Freinage automatique anti-collision (AEB),,,Radar de recul | Radar avant | Système de caméras 360,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED | Adaptatifs,6 haut-parleurs,2 USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.1 pouces,Avant | Arrière,,Similicuir,Électriques | 6 directions | Sport,Conducteur,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables,,Avant/Arrière,https://www.automobile.tn/fr/neuf/gac-motor/emzoom/1.5t-gdi-bva-lifestyle#specs,,,Périmétrique,FCW,Avant | Arrière,LKA,Niveau 2,Électrique,Adaptatif (ACC),TSR,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,Escamotables | Ouverture à l'approche,Cristal,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DACIA DUSTER
1.5 L DCI 4X2",Version unique,105 980 DT,Non,Disponible,SUV,2 ans ou 100.000 km,5,5,4,Diesel,6 CV,115 CH,260 nm 1750 tr/min,1461 CM³,Manuelle,6,Traction,4343 mm,1813 mm,1656 mm,594 L,1696 L,10.5 s,180 KM/H,4.7 L/100 km,Frontaux | Latéraux | Rideaux,ESC,,,,Radar de recul | Caméra de recul,,,Feux de jour,En aluminium | 17'',,Commandes au volant | Media Nav Evolution,USB-C | Android Auto | Apple Carplay | Bluetooth,Tactile | 10 pouces,Avant,3,Tissu,,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Cache Bagages,Automatique,À distance,,,Électriques,7 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/dacia/duster/1.5-l-dci-4x2,,,,,,,,,,,Poignées de portes,,,,,,Avec signature lumineuse LED,Chromée,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BYD KING
1.5 L DM-I",Version unique,105 990 DT,Non,Disponible,Berline,6 ans ou 150.000 km | Batterie garantie 8 ans ou 200.000 km,5,4,4,Essence | Hybride rechargeable,5 CV,187 CH,130 nm 4500 tr/min,1498 CM³,Automatique,,Traction,4765 mm,1837 mm,1495 mm,450 L,,7.9 s,185 KM/H,3.9 L/100 km,Frontaux | Latéraux | Rideaux,ESC | TCS,EBD | HBA | VDC,TPMS,HHC,Radar de recul | Radar avant | Système de caméras 360,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 17'',LED,6 haut-parleurs | Commandes au volant,2 USB | 2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.8 pouces | Rotatif,Avant | Arrière,3,Similicuir,Conducteur à réglage électrique | 6 directions | Avec Appuie-tête intégrés,Conducteur,,Similicuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Éclairage d'accueil à LED,8.8 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/byd/king/1.5-l-dm-i,,,,,,,,,,,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,Chromée,,,106 CH,81 CH,8.3 kWh,316 nm,55 km,1175 km,Triangle de présignalisation,Chrome,Poches aumônières | Porte-lunettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOYOTA COROLLA SEDAN
1.6 L CVT ACTIVE BVA",Version unique,108 900 DT,Non,Disponible,Berline,3 ans ou 100.000 km,5,4,4,Essence,7 CV,124 CH,157 nm 5200 tr/min,1598 CM³,Automatique,6,Traction,4630 mm,1780 mm,1435 mm,,,9.7 s,200 KM/H,5.7 L/100 km,Frontaux | Latéraux,VSC,EBA | EBD,,HAC,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Arrières,En aluminium | 16'',Bi-LED,Commandes au volant | Toyota Touch,USB | AUX | Bluetooth,Tactile | 8 pouces,Avant | Arrière,,Tissu,,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone,À distance,,Normal | Sport | Eco,Électriques | Rabattables,,Avant/Arrière,https://www.automobile.tn/fr/neuf/toyota/corolla/1.6-l-cvt-bva-active,N.C,N.C,,,,,,,,,Poignées de portes,,,Cuir,,,Noire,Noir brillant,,,,,,,,,,,LED,Ecran TFT 7'',Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAT LEON,1.4 TSI Style,108 980 DT,Non,Sur arrivage,Compacte,3 ans,5,5,4,Essence,8 CV,150 CH,250 nm 1400 tr/min,1395 CM³,Automatique,8,Traction,4368 mm,1799 mm,1456 mm,380 L,,8.2 s,215 KM/H,5.5 L/100 km,Frontaux | Latéraux | Protège-tête,ESC,EBD,,,Radar de recul | Radar avant,,,Feux de jour | Avant | Arrières,En aluminium | 16'',LED,,USB-C | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.4 pouces,Avant,3,Tissu,Réglage lombaire,Conducteur et passager,,Cuir | Multi-fonctions | Sport | Avec palettes,En hauteur et en profondeur,,,Automatique | 3 zones | Ventilation arrière,À distance,Éléctrique,,Électriques | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/seat/leon/1.4-tsi-style#specs,7 L/100 km,4.6 L/100 km,,,,,,Servotronic,,,,,,,Démarrage mains libres,,,,Athermiques,,,,,,,,,,,,Anti-éblouissement,118 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GEELY GEOMETRY C
70 KWH",Version unique,109 000 DT,Non,Disponible,SUV,5 ans ou 150000 km,5,5,,Electrique,4 CV,204 CH,310 nm 0 tr/min,,Automatique,,Traction,4432 mm,1833 mm,1560 mm,259 L,,7.7 s,150 KM/H,,Frontaux | Latéraux | Rideaux,ESC | TCS,EBA | EBD | HBA | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | VDC,TPMS,Autohold | HHC,Radar de recul | Radar avant | Système de caméras 360,RMI,HDC,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED,Haut-parleurs Bose,2 USB-C | Bluetooth | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 12.3 pouces,Avant | Arrière,,Cuir artificiel,Électriques | 6 directions | Réglage lombaire | Fonction mémoire,Conducteur,Panoramique,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Sport | Eco | Eco +,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,5 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/geely/geometry/70-kwh,,,,,,LKA,,,Adaptatif (ACC),TSI,Pare-chocs | Poignées de portes,,Escamotables | Ouverture à l'approche,,Démarrage mains libres,Accès mains libres,Avec signature lumineuse LED,,,,,70 kWh,,460 km,,,,,,,,,16.5 kWh/100 km,8 heures,45 minutes,LDW,RCTA,IHC,BSD,Acier inoxydable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JETOUR DASHING
1.5 TURBO BVA",Version unique,109 500 DT,Non,Disponible,SUV,5 ans ou 100000 km,5,5,4,Essence,8 CV,156 CH,230 nm 1750 tr/min,1498 CM³,Automatique,6,Traction,4590 mm,1900 mm,1685 mm,490 L,,8.5 s,190 KM/H,7.8 L/100 km,Frontaux | Latéraux,ESP | TCS,BAS | EBA | EBD | BDW,TPMS,Autohold | HHC,Système de caméras 360,,HDC,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED,Commandes au volant,USB | USB-C | Bluetooth | Commande vocale | Wifi | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 12.8 pouces,Avant | Réfrigéré | Arrière,,Cuir,Électriques | Chauffants | Ventilés,,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique | Ventilation arrière,À distance,Éléctrique,Sport | Eco,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/jetour/dashing/1.5-turbo-bva,,,,,,,,,,,,Métallisée,,,Démarrage mains libres,Démarrage à distance | Accès mains libres,,,,,,,,,,,Chrome,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEUGEOT BOXER DOUBLE CABINE
PLATEAU 350 L2",Version unique,109 900 DT,Non,3 mois,Utilitaire,3 ans,7,4 | 1 porte latérale coulissante | 2 portes arrières battantes vitrées,4,Diesel,7 CV,140 CH,340 nm 1750 tr/min,2179 CM³,Manuelle,5,Traction,N.C,N.C,N.C,,,N.C,N.C,N.C,Frontal conducteur,,AFU,,,Radar de recul,,,,,,,,,,3,Tissu,,,,,En hauteur,,,Manuelle,À distance,,,,,Avant,https://www.automobile.tn/fr/neuf/peugeot/boxer-plateau-double-cabine/350-l2-plateau-double-cabine,N.C,N.C,,,,,,,,,,,,,,,,,Teintées,,,,,,,,,,,,,,,,,,,,,,,N.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
