Prix,Marque,Modele,Annee,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
37500.0,Peugeot,Peugeot 208 Style,2022.0,3.0,69000.0,Essence,Manuelle,5.0
42500.0,Seat,Seat Ibiza Populaire,2019.0,6.0,100000.0,Essence,Manuelle,4.0
102000.0,Mercedes-Benz,Mercedes-Benz Classe A AMG,2019.0,6.0,110000.0,Essence,Automatique,7.0
159000.0,Land,Land Rover Range Rover Evoque Dynamic SE +,2021.0,4.0,110000.0,Hybride,Automatique,11.0
127000.0,Mercedes-Benz,Mercedes-Benz CLA AMG,2021.0,4.0,85000.0,Essence,Automatique,7.0
140000.0,Mercedes-Benz,Mercedes-Benz CLA AMG,2021.0,4.0,69000.0,Hybride,Automatique,8.0
105000.0,BMW,BMW Série 4 Gran Coupé Luxury Line,2019.0,6.0,79000.0,Essence,Automatique,7.0
117000.0,BMW,BMW Série 4 Gran Coupé Pack M Sport,2019.0,6.0,90000.0,Essence,Automatique,7.0
102000.0,Land,Land Rover Range Rover Evoque R-Dynamic,2016.0,9.0,160000.0,Diesel,Automatique,10.0
142200.0,Mercedes-Benz,Mercedes-Benz Classe C AMG,2019.0,6.0,147000.0,Essence,Automatique,8.0
169000.0,Mercedes-Benz,Mercedes-Benz Classe A AMG,2023.0,2.0,15000.0,Hybride,Automatique,8.0
102000.0,Mercedes-Benz,Mercedes-Benz Classe S Executive,2010.0,15.0,165000.0,Essence,Automatique,18.0
122000.0,Porsche,Porsche Cayenne,2012.0,13.0,195000.0,Essence,Automatique,21.0
73000.0,VW,Volkswagen Virtus Confortline,2023.0,2.0,10000.0,Essence,Automatique,7.0
83000.0,Seat,Seat Leon Dynamic,2021.0,4.0,59000.0,Essence,Automatique,8.0
225000.0,Mercedes-Benz,Mercedes-Benz GLE Coupé AMG,2016.0,9.0,127000.0,Diesel,Automatique,16.0
249000.0,Land,Land Rover Range Rover Sport Autobiography,2018.0,7.0,75000.0,Diesel,Automatique,16.0
249000.0,Land,Land Rover Range Rover Sport Autobiography,2019.0,6.0,104000.0,Hybride,Automatique,19.0
55500.0,MG,MG ZS Luxe,2019.0,6.0,124000.0,Essence,Automatique,7.0
69000.0,Mercedes-Benz,Mercedes-Benz Classe C Avantgarde,2015.0,10.0,200000.0,Essence,Automatique,8.0
89000.0,Mercedes-Benz,Mercedes-Benz Classe E AMG,2013.0,12.0,199000.0,Essence,Automatique,10.0
109000.0,BMW,BMW X6,2011.0,14.0,195000.0,Diesel,Automatique,15.0
145000.0,VW,Volkswagen Touareg Pack Luxe,2015.0,10.0,108000.0,Diesel,Automatique,16.0
95000.0,Mercedes-Benz,Mercedes-Benz GLA AMG,2016.0,9.0,125000.0,Essence,Automatique,9.0
125000.0,Cupra,Cupra Formentor Exclusive,2024.0,1.0,44000.0,Essence,Automatique,11.0
220000.0,Jeep,Jeep Grand Cherokee Limited,2021.0,4.0,54000.0,Essence,Automatique,20.0
120000.0,Jaguar,Jaguar XF Luxe,2017.0,8.0,42000.0,Essence,Automatique,16.0
75000.0,Mercedes-Benz,Mercedes-Benz Classe E coupé AMG,2014.0,11.0,230000.0,Essence,Automatique,10.0
185000.0,Porsche,Porsche Cayenne,2013.0,12.0,210000.0,Diesel,Automatique,28.0
99000.0,Land,Land Rover Discovery Sport Pure,2017.0,8.0,110000.0,Diesel,Automatique,8.0
195000.0,Mercedes-Benz,Mercedes-Benz Classe C AMG,2022.0,3.0,23000.0,Hybride,Automatique,9.0
130000.0,Mercedes-Benz,Mercedes-Benz Classe C AMG +,2021.0,4.0,105000.0,Diesel,Automatique,8.0
155000.0,Mercedes-Benz,Mercedes-Benz CLS AMG,2015.0,10.0,66000.0,Diesel,Automatique,11.0
77000.0,Land,Land Rover Range Rover Evoque Dynamic,2012.0,13.0,162000.0,Diesel,Automatique,9.0
69000.0,Mercedes-Benz,Mercedes-Benz Classe S Limousine,2008.0,17.0,212000.0,Essence,Automatique,29.0
45000.0,Smart,Smart ForTwo Passion,2016.0,9.0,44000.0,Essence,Automatique,4.0
245000.0,Jaguar,Jaguar F-Type RDYNAMIC,2017.0,8.0,12000.0,Essence,Automatique,19.0
83000.0,KIA,KIA Sportage GT-Line,2019.0,6.0,134000.0,Diesel,Automatique,7.0
316200.0,Mercedes-Benz,Mercedes-Benz CLE Coupé AMG +,2024.0,1.0,15000.0,Essence,Automatique,12.0
179720.0,Volvo,Volvo XC40 Black Edition,2024.0,1.0,4000.0,Hybride,Automatique,9.0
79000.0,Citroën,Citroën Jumpy Combi,2020.0,5.0,160000.0,Diesel,Manuelle,6.0
128000.0,Mercedes-Benz,Mercedes-Benz Classe A AMG,2022.0,3.0,63000.0,Essence,Automatique,7.0
57000.0,BMW,BMW Série 3 Access,2014.0,11.0,265000.0,Essence,Automatique,7.0
65000.0,Hyundai,Hyundai Accent,2022.0,3.0,68000.0,Essence,Automatique,6.0
79000.0,GWM,GWM Haval H6 Luxury,2021.0,4.0,96000.0,Essence,Automatique,9.0
185000.0,Mercedes-Benz,Mercedes-Benz Classe C AMG,2021.0,4.0,38000.0,Hybride,Automatique,10.0
73000.0,KIA,KIA Rio 5p GT-Line,2022.0,3.0,10000.0,Essence,Manuelle,5.0
49000.0,KIA,KIA Picanto LX,2021.0,4.0,31000.0,Essence,Automatique,4.0
49000.0,Seat,Seat Ibiza Populaire,2018.0,7.0,43000.0,Essence,Manuelle,4.0
79500.0,Chery,Chery Arrizo 5 Luxury,2025.0,0.0,37657.0,Essence,Automatique,7.0
112000.0,VW,Volkswagen Golf 8 Life,2023.0,2.0,42000.0,Essence,Automatique,8.0
47500.0,Peugeot,Peugeot Partner,2021.0,4.0,150000.0,Diesel,Manuelle,5.0
310000.0,Mercedes-Benz,Mercedes-Benz GLE Coupé AMG,2017.0,8.0,40000.0,Essence,Automatique,26.0
98000.0,Mercedes-Benz,Mercedes-Benz Classe A AMG,2019.0,6.0,121000.0,Diesel,Automatique,7.0
265000.0,BMW,BMW X5 Confort xLine,2020.0,5.0,112000.0,Diesel,Automatique,14.0
52000.0,KIA,KIA Cee'd,2019.0,6.0,178000.0,Essence,Manuelle,6.0
48500.0,Renault,Renault Clio Life Plus,2022.0,3.0,95000.0,Essence,Manuelle,5.0
