Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
Hyundai I20,1.0 T,"68,500 DT",2990,1ere main,16 800 Km,Compact,Janvier 2022,5 cv,100 cv,Essence,6.0L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/205/HyundaiI20
Volkswagen Golf 8,1.0 l TSI,"94,500 DT",2922,1ere main,60 700 Km,Compact,Avril 2021,6 cv,110 cv,Essence,4.9 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/203/VolkswagenGolf8
Hyundai Kona N line,1.6 T,"109,000 DT",2903,1ere main,45 000 Km,SUV,Mai 2023,11 cv,200cv,Essence,6.2L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/201/HyundaiKonaNline
MG GT,1.5 l,"35,500 DT",2724,1ere main,109 000 Km,Berline,Janvier 2017,6,109 cv,Essence,5.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/195/MGGT
Audi A1 Sportback,1.0 l,"97,000 DT",2758,1ere main,6 800 Km,Berline,Juin 2024,6 cv,110 cv,Essence,5.6 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/193/AudiA1Sportback
BMW Série 4 Gran Coupé,Finition M Sport,"83,000 DT",2596,1ere main,125 000 Km,Coupé,Mai 2017,7 cv,136 cv,Essence,6.2L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/191/BMWS%C3%A9rie4GranCoup%C3%A9
Suzuki Vitara,1.6 l,"62,500 DT",2583,1ere main,68 500 Km,SUV,Mai 2017,6 cv,120 cv,Essence,5.7 L/100 km,Automatique,https://www.sparkauto.tn/listing-detail/188/suzukiVitara
Volkswagen Tiguan,2 TSI,"38,000 DT",2568,1ere main,209 000 Km,SUV,Février 2010,11 cv,200cv,Essence,8.5 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/183/VolkswagenTiguan
Wallyscar 719,1.6 l,"42,000 DT",2429,1ere main,7 500 Km,Berline,Novembre 2023,7 cv,115 cv,Essence,6.1 L/100 km,Manuelle,https://www.sparkauto.tn/listing-detail/180/Wallyscar719
Ford Focus Titanium,1.0 lEcoBoost,"38,000 DT",2504,1ere main,192 500 Km,Compact,Septembre 2018,6 cv,125 cv,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/179/FordFocusTitanium
