Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,0-100 KM/H,VITESSE MAXI,CONSOMMATION MIXTE,AIRBAGS,ANTI-PATINAGE,CONTRÔLE DE PRESSION DES PNEUS,AIDE AU STATIONNEMENT,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,FEUX À LED,JANTES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,POMMEAU DE LEVIER DE VITESSE,SELLERIE,SIÈGES RÉGLABLES EN HAUTEUR,VOLANT,VOLANT RÉGLABLE,ALIMENTATION ÉLECTRIQUE,CLIMATISATION,FERMETURE CENTRALISÉE,ORDINATEUR DE BORD,RÉTROVISEURS EXTÉRIEURS,VITRES ÉLECTRIQUES,URL,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,PHARES,APPUIS TÊTES ARRIÈRES,KIT RANGEMENT,VITRES,CALANDRE,BARRES DE TOIT,FINITION INTÉRIEURE,TOIT,ALERTE DE RISQUE DE COLLISION,ASSISTANCE AU FREINAGE,RECONNAISSANCE DES PANNEAUX,CHARGE UTILE,DIRECTION ASSISTÉE,PEINTURE,BOUTON START & STOP,CLÉ INTELLIGENTE,COFFRE À BAGAGES,FREIN DE STATIONNEMENT,RÉTROVISEUR INTÉRIEUR,INSTRUMENTATION DIGITALE,BARRE STABILISATRICE,VOLUME DU COFFRE MAXIMAL,EMISSIONS DE CO2,POIGNÉES DE PORTES,VOLUME UTILE,SIÈGES
GEELY EMGRAND,1.5 L GL,67 800 DT,Non,Disponible,Berline,4 ans ou 150.000 km,5,4,4,Essence,6 CV,122 CH,152 nm 4500 tr/min,1499 CM³,Manuelle,5,Traction,4638 mm,1822 mm,1460 mm,500 L,12.6 s,175 KM/H,6.4 L/100 km,Frontaux,ESC,TPMS,Radar de recul | Caméra de recul,Pare-chocs | Poignées de portes,Feux de jour | Arrières,En aluminium | 16'',2 haut-parleurs | Commandes au volant,2 USB | Bluetooth | Mirrorlink,Tactile | 8 pouces,Avant,Similicuir,Tissu,Conducteur,Cuir | Multi-fonctions | Sport,En hauteur,1 prise 12 V,Automatique,À distance,"Ecran LCD 3.5""",Électriques | Dégivrants | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/geely/emgrand/1.5-l-gl#specs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN VIRTUS,1.0 L TSI Confortline,67 980 DT,Non,3 mois,Berline,2 ans,5,4,3,Essence,6 CV,116 CH,178 nm 1750 tr/min,999 CM³,Manuelle,6,Traction,4561 mm,1752 mm,1507 mm,521 L,10.7 s,187 KM/H,5.2 L/100 km,Frontaux,ESP | ASR,,Radar de recul,Pare-chocs | Rétroviseurs,Feux de jour | Avant | Arrières,16'',6 haut-parleurs,Android Auto | Apple Carplay | Bluetooth,Tactile,,,Tissu,Conducteur,Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Manuelle,À distance,Affichage multifonctions plus,Électriques | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/volkswagen/virtus/1.0-l-confortline#specs,6.7 L/100 km,4.5 L/100 km,LED,3,Poches aumônières,Athermiques,,,,,,,,,,,,,,,,,,,,,,
GEELY GX3 PRO,1.5 L BVM,62 300 DT,Non,2 mois,SUV,4 ans,5,5,4,Essence,5 CV,103 CH,142 nm 4400 tr/min,1498 CM³,Manuelle,5,Traction,4005 mm,1760 mm,1575 mm,400 L,11.7 s,160 KM/H,6.5 L/100 km,Frontaux,,TPMS,Radar de recul | Caméra de recul,Pare-chocs | Poignées de portes,Feux de jour | Arrières,En aluminium | 16'',4 haut-parleurs,2 USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 8 pouces,Avant,Similicuir,Similicuir | Surpiqures,Conducteur,Cuir | Multi-fonctions | Sport,En hauteur,1 prise 12 V,Automatique,À distance,Ecran TFT 3.5'',Électriques | Dégivrants | Noirs | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/geely/gx3-pro/1.5-l-bvm#specs,,,,,,,Chromée,Chromées,Chromée,Ouvrant,,,,,,,,,,,,,,,,,,
"PEUGEOT 208 1.2 L STYLE",Version unique,68 900 DT,Non,Disponible,Citadine,3 ans,5,5,3,Essence,5 CV,100 CH,205 nm 1750 tr/min,1199 CM³,Manuelle,6,Traction,4055 mm,1745 mm,1430 mm,352 L,10.1 s,194 KM/H,5.2 L/100 km,Frontaux | Latéraux | Rideaux,ESP,,Radar de recul,Pare-chocs | Poignées de portes,Feux de jour | Avant | Arrières,16'' | Bi-ton,6 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth | Mirrorlink,Tactile | 10 pouces,,,Tissu | Surpiqures,,Cuir | Multi-fonctions,En hauteur et en profondeur,,Manuelle,À distance,Ecran TFT 3.5'',Électriques | Dégivrants | Noirs | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/peugeot/208/1.2-l-style,,,LED,,,,Noire,,,,FCW,Freinage automatique anti-collision (AEB),TSR,,,,,,,,,,,,,,,
MAHINDRA PICK-UP DC,2.2 l Diesel 4x2,69 046 DT,Non,Disponible,Pick up,5 ans,5,4,4,Diesel,7 CV,140 CH,320 nm 1500 tr/min,2179 CM³,Manuelle,6,Propulsion,N.C,N.C,N.C,,N.C,N.C,8.8 L/100 km,Frontaux,,,,Pare-chocs | Poignées de portes | Rétroviseurs,Arrières,En aluminium | 16'',4 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,,Arrière,,Tissu,,,En hauteur,2 prises 12 V,Manuelle,À distance,,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/mahindra/pick-up-dc/2.2-l-diesel-4x2#specs,10.3 L/100 km,7.9 L/100 km,,,Porte-lunettes,,Chromée | Noire,,,,,,,1180 KG,,,,,,,,,,,,,,
"JMC VIGUS SIMPLE CABINE 2.5 L DIESEL 4X2",Version unique,à partir de 58 900 DT,Non,Sur arrivage,Pick up,3 ans ou 100.000 km,2,2,4,Diesel,7 CV,127 CH,310 nm 1800 tr/min,2498 CM³,Manuelle,5,Propulsion,5301 mm,1905 mm,1765 mm,,14.7 s,160 KM/H,7.3 L/100 km,Frontaux,,,,,,En aluminium | 16'',Commandes au volant,USB | Bluetooth,,,,Tissu,,Multi-fonctions,,1 prise 12 V,Manuelle,À distance,,Électriques,Avant,https://www.automobile.tn/fr/neuf/jmc/vigus-simple-cabine/2.5-l-diesel-4x2,,,,,,,,,,,,EBD,,910 KG,,,,,,,,,,,,,,
"GAC GA4 1.5 L BVA",Version unique,à partir de 59 490 DT,Non,Disponible,Berline,5 ans ou 150000 km,5,4,4,Essence,6 CV,107 CH,141 nm 4500 tr/min,1495 CM³,Automatique,,Traction,4692 mm,1805 mm,1500 mm,580 L,N.C,N.C,6.9 L/100 km,Frontaux | Latéraux,ESP,,Radar de recul | Caméra de recul,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour,En aluminium | 16'',4 haut-parleurs,2 USB | Bluetooth,Tactile,Avant | Arrière,,Similicuir,Conducteur,Cuir | Multi-fonctions,En hauteur,1 prise 12 V,Automatique,À distance,,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/gac-motor/ga4/1.5-l-bva,9 L/100 km,5.4 L/100 km,,,,,,,,,,EBA | EBD,,,Électrique,Métallisée,Démarrage mains libres,Accès mains libres,Cache Bagages,Éléctrique,,,,,,,,
HYUNDAI I20,1.2 L GLS Plus,66 950 DT,Non,Disponible,Citadine,5 ans,5,5,4,Essence,4 CV,76 CH,122 nm 4000 tr/min,1197 CM³,Manuelle,5,Traction,4040 mm,1775 mm,1450 mm,352 L,13.1 s,170 KM/H,4.8 L/100 km,Frontaux | Latéraux,ESP,,Radar de recul | Caméra de recul,Pare-chocs | Poignées de portes | Rétroviseurs,,En aluminium | 16'',Commandes au volant,2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 8 pouces,Avant,Cuir,Tissu,Conducteur et passager,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Manuelle,À distance,,Électriques | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/i20/1.2-l-gls-plus#specs,6 L/100 km,4.1 L/100 km,,2,Poches aumônières,,Chromée,,,,,,,,Électrique,Métallisée,,,,,Anti-éblouissement,Digital Cockpit,,,,,,
"TATA XENON X2 DOUBLE CABINE 4X2 2.2 L TURBO",Version unique,74 900 DT,Non,Sur arrivage,Pick up,3 ans,5,4,4,Diesel,7 CV,150 CH,320 nm 1500 tr/min,2179 CM³,Manuelle,5,Propulsion,5312 mm,1860 mm,1803 mm,,N.C,160 KM/H,7.8 L/100 km,Frontaux,,,,,,En aluminium | 16'',,,,,,Tissu,,,,1 prise 12 V,Manuelle,À distance,,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/tata/xenon-dc/2.2-l-4x2-2023,9.7 L/100 km,6.6 L/100 km,,,,,,,,,,,,1030 KG,,,,,,,,,Avant,,,,,
"OPEL CROSSLAND 1.2 L 110 CH AT6 EDITION",Version unique,75 900 DT,Non,Disponible,SUV,3 ans ou 100.000 km,5,5,3,Essence,6 CV,110 CH,205 nm 1500 tr/min,1199 CM³,Automatique,6,Traction,4212 mm,1765 mm,1605 mm,,10.9 s,187 KM/H,5.7 L/100 km,Frontaux | Latéraux | Protège-tête,ESP,,Radar de recul | Radar avant | Caméra de recul,,Feux de jour,16'',6 haut-parleurs | Commandes au volant,USB | Bluetooth,Tactile | 7 pouces,,,Tissu,Conducteur,Cuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,,Manuelle,À distance,,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/opel/crossland/1.2-l-110-ch-bva-edition,,,Eco LED,3,,,Contour chromé,,,,,EBD,,,,,,,,,,,,,,,,
